Loaded 500 price rows from bot_v2\tools\data\btc_sample.csv
Entry index: 0  entry_price: 68025.36  window [0:60]
index,price
67,67981.40000000
68,67968.13000000
69,67969.18000000
70,67969.77000000
71,68001.32000000
72,67988.30000000
73,67980.13000000
74,68018.16000000
75,67990.92000000
76,67973.42000000
77,67995.64000000
78,68026.94000000
79,68039.42000000
80,68082.54000000
81,68100.65000000
82,68077.07000000
83,68079.88000000
84,68082.37000000
85,68129.01000000
86,68126.75000000
87,68150.50000000
88,68158.19000000
89,68164.96000000
90,68163.71000000
91,68145.48000000
92,68124.28000000
93,68134.34000000
94,68117.35000000
95,68136.10000000
96,68123.91000000
97,68102.34000000
98,68099.89000000
99,68114.39000000
100,68130.17000000
101,68141.12000000
102,68156.59000000
103,68145.11000000
104,68129.19000000
105,68118.96000000
106,68075.92000000
107,68081.12000000
108,68052.74000000
109,68055.26000000
110,68056.55000000
window_min: 67953.58000000  window_max: 68228.12000000

Entry index: 100  entry_price: 68130.17  window [80:160]
index,price
80,68082.54000000
81,68100.65000000
82,68077.07000000
83,68079.88000000
84,68082.37000000
85,68129.01000000
86,68126.75000000
87,68150.50000000
88,68158.19000000
89,68164.96000000
90,68163.71000000
91,68145.48000000
92,68124.28000000
93,68134.34000000
94,68117.35000000
95,68136.10000000
96,68123.91000000
97,68102.34000000
98,68099.89000000
99,68114.39000000
100,68130.17000000
101,68141.12000000
102,68156.59000000
103,68145.11000000
104,68129.19000000
105,68118.96000000
106,68075.92000000
107,68081.12000000
108,68052.74000000
109,68055.26000000
110,68056.55000000
111,68025.63000000
112,68016.99000000
113,67994.24000000
114,67951.14000000
115,67950.36000000
116,67912.25000000
117,67881.20000000
118,67866.24000000
119,67831.63000000
120,67843.39000000
121,67849.11000000
122,67833.47000000
123,67807.00000000
124,67788.67000000
125,67761.80000000
126,67735.63000000
127,67730.30000000
128,67701.43000000
129,67755.63000000
130,67781.57000000
131,67808.63000000
132,67803.30000000
133,67805.21000000
134,67838.71000000
135,67838.34000000
136,67836.47000000
137,67843.67000000
138,67854.16000000
139,67849.02000000
140,67860.76000000
141,67869.21000000
142,67853.15000000
143,67881.53000000
144,67902.28000000
145,67907.05000000
146,67943.87000000
147,67965.34000000
148,67970.28000000
149,67934.28000000
150,67940.13000000
151,67911.21000000
152,67939.96000000
153,67934.02000000
154,67933.43000000
155,67932.64000000
156,67937.08000000
157,67959.52000000
158,67961.19000000
159,67964.67000000
160,67961.10000000
window_min: 67701.43000000  window_max: 68164.96000000

Entry index: 150  entry_price: 67940.13  window [130:210]
index,price
130,67781.57000000
131,67808.63000000
132,67803.30000000
133,67805.21000000
134,67838.71000000
135,67838.34000000
136,67836.47000000
137,67843.67000000
138,67854.16000000
139,67849.02000000
140,67860.76000000
141,67869.21000000
142,67853.15000000
143,67881.53000000
144,67902.28000000
145,67907.05000000
146,67943.87000000
147,67965.34000000
148,67970.28000000
149,67934.28000000
150,67940.13000000
151,67911.21000000
152,67939.96000000
153,67934.02000000
154,67933.43000000
155,67932.64000000
156,67937.08000000
157,67959.52000000
158,67961.19000000
159,67964.67000000
160,67961.10000000
161,67955.46000000
162,67988.32000000
163,67955.95000000
164,67954.25000000
165,67963.41000000
166,67950.39000000
167,67939.54000000
168,67928.21000000
169,67939.66000000
170,67966.45000000
171,67964.72000000
172,67989.19000000
173,67966.17000000
174,67958.58000000
175,67920.09000000
176,67921.71000000
177,67892.81000000
178,67891.13000000
179,67870.47000000
180,67829.38000000
181,67838.10000000
182,67815.88000000
183,67787.22000000
184,67795.12000000
185,67746.18000000
186,67780.69000000
187,67792.00000000
188,67784.98000000
189,67805.57000000
190,67795.42000000
191,67767.42000000
192,67731.52000000
193,67721.11000000
194,67749.86000000
195,67749.51000000
196,67757.14000000
197,67765.72000000
198,67774.83000000
199,67755.82000000
200,67744.99000000
201,67744.85000000
202,67721.15000000
203,67691.97000000
204,67719.67000000
205,67725.21000000
206,67732.81000000
207,67762.77000000
208,67745.46000000
209,67746.16000000
210,67761.40000000
window_min: 67691.97000000  window_max: 67989.19000000
